name,state,year,se,jobs,se_jobs,rd,gdp,rd_gdp
West Virginia,WV,2015,20490,707000,2.9,546,70281,0.78
West Virginia,WV,2016,20510,697440,2.94,450,69721,0.65
West Virginia,WV,2017,20830,688530,3.03,492,73163,0.67
Wisconsin,WI,2008,101680,2776690,3.66,4967,244760,2.03
Wisconsin,WI,2009,100850,2689710,3.75,4930,245539,2.01
Wisconsin,WI,2010,99240,2608740,3.8,5351,254354,2.1
Wisconsin,WI,2011,102320,2645180,3.87,5605,263882,2.12
Wisconsin,WI,2012,103030,2673280,3.85,5698,274344,2.08
Wisconsin,WI,2013,106210,2704840,3.93,5718,282385,2.02
Wisconsin,WI,2014,112540,2727860,4.13,5789,293885,1.97
Wisconsin,WI,2015,117720,2771600,4.25,6132,305817,2.01
Wisconsin,WI,2016,124000,2805010,4.42,6517,313532,2.08
Wisconsin,WI,2017,125610,2825170,4.45,7020,321988,2.18
Wyoming,WY,2008,8850,283980,3.12,154,42540,0.36
Wyoming,WY,2009,8920,282450,3.16,141,36042,0.39
Wyoming,WY,2010,8260,269910,3.06,108,37401,0.29
Wyoming,WY,2011,8440,272570,3.1,115,39371,0.29
Wyoming,WY,2012,8710,278040,3.13,106,38432,0.28
Wyoming,WY,2013,0,278910,0,107,38923,0.27
Wyoming,WY,2014,9050,282690,3.2,123,39436,0.31
Wyoming,WY,2015,8980,283830,3.16,253,37722,0.67
Wyoming,WY,2016,8460,276120,3.06,292,35740,0.82
Wyoming,WY,2017,7960,267980,2.97,219,37454,0.58
