name,state,year,se,jobs,se_jobs,rd,gdp,rd_gdp
Michigan,MI,2015,228140,4146600,5.5,19891,474301,4.19
Michigan,MI,2016,238120,4212090,5.65,21803,491774,4.43
Michigan,MI,2017,248460,4276040,5.81,23855,505561,4.72
Minnesota,MN,2008,134440,2704860,4.97,6697,264688,2.53
Minnesota,MN,2009,134060,2627640,5.1,7928,259959,3.05
Minnesota,MN,2010,125100,2562450,4.88,7394,271821,2.72
Minnesota,MN,2011,130340,2595450,5.02,7394,283807,2.61
Minnesota,MN,2012,131690,2641110,4.99,7381,294297,2.51
Minnesota,MN,2013,133580,2688580,4.97,7845,306153,2.56
Minnesota,MN,2014,140190,2730020,5.14,8244,319779,2.58
Minnesota,MN,2015,143620,2772240,5.18,8053,329493,2.44
Minnesota,MN,2016,149360,2810400,5.31,8370,339100,2.47
Minnesota,MN,2017,150210,2838270,5.29,8470,351417,2.41
Mississippi,MS,2008,27270,1138210,2.4,808,96844,0.83
Mississippi,MS,2009,25940,1096890,2.36,841,93206,0.9
Mississippi,MS,2010,23770,1070820,2.22,856,95208,0.9
Mississippi,MS,2011,23440,1073100,2.18,941,96372,0.98
Mississippi,MS,2012,23640,1080420,2.19,1143,99615,1.15
Mississippi,MS,2013,24320,1083560,2.24,1063,101638,1.05
Mississippi,MS,2014,24860,1094070,2.27,1125,104146,1.08
Mississippi,MS,2015,25440,1106550,2.3,943,105883,0.89
Mississippi,MS,2016,25280,1117280,2.26,920,107097,0.86
Mississippi,MS,2017,26050,1119470,2.33,991,110223,0.9
Missouri,MO,2008,105390,2740170,3.85,3884,250581,1.55
Missouri,MO,2009,104310,2668450,3.91,4416,251780,1.75
Missouri,MO,2010,102300,2588450,3.95,9261,258544,3.58
Missouri,MO,2011,106930,2591020,4.13,0,260094,0
Missouri,MO,2012,109650,2605910,4.21,8235,268762,3.06
Missouri,MO,2013,105730,2639120,4.01,8365,277851,3.01
Missouri,MO,2014,106980,2673640,4,7957,284713,2.79
Missouri,MO,2015,110220,2712240,4.06,7426,294795,2.52
Missouri,MO,2016,116670,2757850,4.23,7204,297583,2.42
Missouri,MO,2017,119440,2788680,4.28,6518,304946,2.14
Montana,MT,2008,0,444090,0,401,36863,1.09
Montana,MT,2009,14210,432240,3.29,363,35984,1.01
Montana,MT,2010,14620,424300,3.45,392,38055,1.03
Montana,MT,2011,14960,425110,3.52,408,40579,1.01
Montana,MT,2012,15360,432380,3.55,366,42006,0.87
Montana,MT,2013,15570,439110,3.55,335,43141,0.78
Montana,MT,2014,15540,443330,3.51,464,44496,1.04
Montana,MT,2015,16320,447180,3.65,459,46153,0.99
Montana,MT,2016,15840,454740,3.48,394,45458,0.87
Montana,MT,2017,17070,460740,3.7,414,47559,0.87
Nebraska,NE,2008,31820,928120,3.43,988,85201,1.16
Nebraska,NE,2009,31790,916770,3.47,1034,86830,1.19
Nebraska,NE,2010,30930,901690,3.43,936,91813,1.02
Nebraska,NE,2011,33800,904630,3.74,1115,99613,1.12
Nebraska,NE,2012,34720,914830,3.8,1105,102269,1.08
Nebraska,NE,2013,36480,927150,3.93,1108,107604,1.03
Nebraska,NE,2014,36220,942950,3.84,1094,111162,0.98
Nebraska,NE,2015,37950,953710,3.98,1087,115328,0.94
Nebraska,NE,2016,39780,968000,4.11,1129,116194,0.97
Nebraska,NE,2017,41890,970230,4.32,1150,120517,0.95
