id,nobelwinners,category,year,sex
148,Christiaan Eijkman,physiology or medicine,1929,M
149,Frederick Gowland Hopkins,physiology or medicine,1929,M
150,Thomas Mann,literature,1929,M
151,Frank B. Kellogg,peace,1929,M
152,C. V. Raman,physics,1930,M
153,Hans Fischer,chemistry,1930,M
154,Karl Landsteiner,physiology or medicine,1930,M
155,Sinclair Lewis,literature,1930,M
156,Nathan Söderblom,peace,1930,M
157,Carl Bosch,chemistry,1931,M
158,Friedrich Bergius,chemistry,1931,M
159,Otto Heinrich Warburg,physiology or medicine,1931,M
160,Erik Axel Karlfeldt,literature,1931,M
161,Jane Addams,peace,1931,F
162,Nicholas Murray Butler,peace,1931,M
163,Werner Heisenberg,physics,1932,M
164,Irving Langmuir,chemistry,1932,M
165,Charles Scott Sherrington,physiology or medicine,1932,M
166,Edgar Adrian,physiology or medicine,1932,M
167,John Galsworthy,literature,1932,M
168,Erwin Schrödinger,physics,1933,M
169,Paul Dirac,physics,1933,M
170,Thomas Hunt Morgan,physiology or medicine,1933,M
171,Ivan Bunin,literature,1933,M
172,Norman Angell,peace,1933,M
173,Harold Urey,chemistry,1934,M
174,George Whipple,physiology or medicine,1934,M
175,George Minot,physiology or medicine,1934,M
176,William P. Murphy,physiology or medicine,1934,M
177,Luigi Pirandello,literature,1934,M
178,Arthur Henderson,peace,1934,M
179,James Chadwick,physics,1935,M
180,Frédéric Joliot-Curie,chemistry,1935,M
181,Irène Joliot-Curie,chemistry,1935,F
182,Hans Spemann,physiology or medicine,1935,M
183,Carl von Ossietzky,peace,1935,M
184,Victor Francis Hess,physics,1936,M
185,Carl David Anderson,physics,1936,M
186,Peter Debye,chemistry,1936,M
187,Henry Hallett Dale,physiology or medicine,1936,M
188,Otto Loewi,physiology or medicine,1936,M
189,Eugene O'Neill,literature,1936,M
190,Carlos Saavedra Lamas,peace,1936,M
191,Clinton Davisson,physics,1937,M
192,George Paget Thomson,physics,1937,M
193,Norman Haworth,chemistry,1937,M
194,Paul Karrer,chemistry,1937,M
195,Albert Szent-Györgyi,physiology or medicine,1937,M
196,Roger Martin du Gard,literature,1937,M
197,The Viscount Cecil of Chelwood,peace,1937,M
198,Enrico Fermi,physics,1938,M
199,Richard Kuhn,chemistry,1938,M
200,Corneille Heymans,physiology or medicine,1938,M
201,Pearl S. Buck,literature,1938,F
202,Nansen International Office For Refugees,peace,1938,M
203,Ernest Lawrence,physics,1939,M
204,Adolf Butenandt,chemistry,1939,M
205,Leopold Ružička,chemistry,1939,M
206,Gerhard Domagk,physiology or medicine,1939,M
207,Frans Eemil Sillanpää,literature,1939,M
208,Otto Stern,peace,1943,M
209,George de Hevesy,physics,1943,M
210,Henrik Dam,physiology or medicine,1943,M
211,Edward Adelbert Doisy,physiology or medicine,1943,M
212,Isidor Isaac Rabi,physics,1944,M
213,Otto Hahn,chemistry,1944,M
214,Joseph Erlanger,physiology or medicine,1944,M
215,Herbert Spencer Gasser,physiology or medicine,1944,M
216,Johannes Vilhelm Jensen,literature,1944,M
217,International Committee of the Red Cross,peace,1944,M
218,Wolfgang Pauli,physics,1945,M
219,Artturi Ilmari Virtanen,chemistry,1945,M
220,Alexander Fleming,physiology or medicine,1945,M
221,Ernst Boris Chain,physiology or medicine,1945,M
222,Howard Florey,physiology or medicine,1945,M
223,Gabriela Mistral,literature,1945,F
224,Cordell Hull,peace,1945,M
225,Percy Williams Bridgman,physics,1946,M
226,James B. Sumner,chemistry,1946,M
227,John Howard Northrop,chemistry,1946,M
228,Wendell Meredith Stanley,chemistry,1946,M
229,Hermann Joseph Muller,physiology or medicine,1946,M
230,Hermann Hesse,literature,1946,M
231,Emily Greene Balch,peace,1946,F
232,John Mott,peace,1946,M
233,Edward Victor Appleton,physics,1947,M
234,Robert Robinson,chemistry,1947,M
235,Carl Ferdinand Cori,physiology or medicine,1947,M
236,Gerty Cori,physiology or medicine,1947,F
237,Bernardo Houssay,physiology or medicine,1947,M
238,André Gide,literature,1947,M
239,Friends Service Council,peace,1947,M
