id,nobelwinners,category,year,sex
644,Kenzaburō Ōe,literature,1994,M
645,Yasser Arafat,peace,1994,M
646,Shimon Peres,peace,1994,M
647,Yitzhak Rabin,peace,1994,M
648,John Harsanyi,economics,1994,M
649,"John Forbes Nash, Jr.",economics,1994,M
650,Reinhard Selten,economics,1994,M
651,Martin Lewis Perl,physics,1995,M
652,Frederick Reines,physics,1995,M
653,Paul J. Crutzen,chemistry,1995,M
654,Mario J. Molina,chemistry,1995,M
655,Frank Sherwood Rowland,chemistry,1995,M
656,Edward B. Lewis,physiology or medicine,1995,M
657,Christiane Nüsslein-Volhard,physiology or medicine,1995,F
658,Eric F. Wieschaus,physiology or medicine,1995,M
659,Seamus Heaney,literature,1995,M
660,Joseph Rotblat,peace,1995,M
661,Pugwash Conferences on Science and World Affairs,peace,1995,M
662,"Robert Lucas, Jr.",economics,1995,M
663,David Lee,physics,1996,M
664,Douglas Osheroff,physics,1996,M
665,Robert Coleman Richardson,physics,1996,M
666,Robert F. Curl Jr.,chemistry,1996,M
667,Harry Kroto,chemistry,1996,M
668,Richard Smalley,chemistry,1996,M
669,Peter C. Doherty,physiology or medicine,1996,M
670,Rolf M. Zinkernagel,physiology or medicine,1996,M
671,Wisława Szymborska,literature,1996,F
672,Carlos Filipe Ximenes Belo,peace,1996,M
673,José Ramos-Horta,peace,1996,M
674,James Mirrlees,economics,1996,M
675,William Vickrey,economics,1996,M
676,Steven Chu,physics,1997,M
677,Claude Cohen-Tannoudji,physics,1997,M
678,William Daniel Phillips,physics,1997,M
679,Paul D. Boyer,chemistry,1997,M
680,John E. Walker,chemistry,1997,M
681,Jens Christian Skou,chemistry,1997,M
682,Stanley B. Prusiner,physiology or medicine,1997,M
683,Dario Fo,literature,1997,M
684,International Campaign to Ban Landmines,peace,1997,M
685,Jody Williams,peace,1997,F
686,Robert C. Merton,economics,1997,M
687,Myron Scholes,economics,1997,M
688,Robert B. Laughlin,physics,1998,M
689,Horst Ludwig Störmer,physics,1998,M
690,Daniel C. Tsui,physics,1998,M
691,Walter Kohn,chemistry,1998,M
692,John Pople,chemistry,1998,M
693,Robert F. Furchgott,physiology or medicine,1998,M
694,Louis Ignarro,physiology or medicine,1998,M
695,Ferid Murad,physiology or medicine,1998,M
696,José Saramago,literature,1998,M
697,John Hume,peace,1998,M
698,David Trimble,peace,1998,M
699,Amartya Sen,economics,1998,M
700,Gerard 't Hooft,physics,1999,M
701,Martinus J. G. Veltman,physics,1999,M
702,Ahmed Zewail,chemistry,1999,M
703,Günter Blobel,physiology or medicine,1999,M
704,Günter Grass,literature,1999,M
705,Médecins Sans Frontières,peace,1999,M
706,Robert Mundell,economics,1999,M
707,Zhores Alferov,physics,2000,M
708,Herbert Kroemer,physics,2000,M
709,Jack Kilby,physics,2000,M
710,Alan J. Heeger,chemistry,2000,M
711,Alan MacDiarmid,chemistry,2000,M
712,Hideki Shirakawa,chemistry,2000,M
713,Arvid Carlsson,physiology or medicine,2000,M
714,Paul Greengard,physiology or medicine,2000,M
715,Eric Kandel,physiology or medicine,2000,M
716,Gao Xingjian,literature,2000,M
717,Kim Dae-jung,peace,2000,M
718,James Heckman,economics,2000,M
719,Daniel McFadden,economics,2000,M
720,Eric Allin Cornell,physics,2001,M
721,Wolfgang Ketterle,physics,2001,M
722,Carl Wieman,physics,2001,M
723,William Standish Knowles,chemistry,2001,M
724,Ryōji Noyori,chemistry,2001,M
725,Karl Barry Sharpless,chemistry,2001,M
726,Leland H. Hartwell,physiology or medicine,2001,M
727,Tim Hunt,physiology or medicine,2001,M
728,Paul Nurse,physiology or medicine,2001,M
729,V. S. Naipaul,literature,2001,M
730,United Nations,peace,2001,M
731,Kofi Annan,peace,2001,M
732,George Akerlof,economics,2001,M
733,Michael Spence,economics,2001,M
734,Joseph Stiglitz,economics,2001,M
735,"Raymond Davis, Jr.",physics,2002,M
736,Masatoshi Koshiba,physics,2002,M
737,Riccardo Giacconi,physics,2002,M
738,John Fenn,chemistry,2002,M
739,Koichi Tanaka,chemistry,2002,M
740,Kurt Wüthrich,chemistry,2002,M
741,Sydney Brenner,physiology or medicine,2002,M
742,H. Robert Horvitz,physiology or medicine,2002,M
743,John Sulston,physiology or medicine,2002,M
744,Imre Kertész,literature,2002,M
745,Jimmy Carter,peace,2002,M
746,Daniel Kahneman,economics,2002,M
747,Vernon L. Smith,economics,2002,M
748,Alexei Alexeyevich Abrikosov,physics,2003,M
749,Vitaly Ginzburg,physics,2003,M
750,Anthony James Leggett,physics,2003,M
751,Peter Agre,chemistry,2003,M
752,Roderick MacKinnon,chemistry,2003,M
753,Paul Lauterbur,physiology or medicine,2003,M
754,Peter Mansfield,physiology or medicine,2003,M
755,J. M. Coetzee,literature,2003,M
756,Shirin Ebadi,peace,2003,F
757,Robert F. Engle,economics,2003,M
758,Clive Granger,economics,2003,M
759,David Gross,physics,2004,M
760,Hugh David Politzer,physics,2004,M
761,Frank Wilczek,physics,2004,M
762,Aaron Ciechanover,chemistry,2004,M
763,Avram Hershko,chemistry,2004,M
764,Irwin Rose,chemistry,2004,M
765,Richard Axel,physiology or medicine,2004,M
766,Linda B. Buck,physiology or medicine,2004,F
767,Elfriede Jelinek,literature,2004,F
768,Wangari Maathai,peace,2004,F
769,Finn E. Kydland,economics,2004,M
770,Edward C. Prescott,economics,2004,M
771,Roy J. Glauber,physics,2005,M
772,John L. Hall,physics,2005,M
773,Theodor W. Hänsch,physics,2005,M
774,Yves Chauvin,chemistry,2005,M
775,Robert H. Grubbs,chemistry,2005,M
776,Richard R. Schrock,chemistry,2005,M
777,Barry Marshall,physiology or medicine,2005,M
778,Robin Warren,physiology or medicine,2005,M
779,Harold Pinter,literature,2005,M
780,International Atomic Energy Agency,peace,2005,M
781,Mohamed ElBaradei,peace,2005,M
782,Robert Aumann,economics,2005,M
783,Thomas Schelling,economics,2005,M
784,John C. Mather,physics,2006,M
785,George Smoot,physics,2006,M
786,Roger D. Kornberg,chemistry,2006,M
787,Andrew Fire,physiology or medicine,2006,M
788,Craig Mello,physiology or medicine,2006,M
789,Orhan Pamuk,literature,2006,M
790,Muhammad Yunus,peace,2006,M
791,Grameen Bank,peace,2006,M
792,Edmund Phelps,economics,2006,M
793,Albert Fert,physics,2007,M
794,Peter Grünberg,physics,2007,M
795,Gerhard Ertl,chemistry,2007,M
796,Mario Capecchi,physiology or medicine,2007,M
797,Martin Evans,physiology or medicine,2007,M
798,Oliver Smithies,physiology or medicine,2007,M
799,Doris Lessing,literature,2007,F
800,Intergovernmental Panel on Climate Change,peace,2007,M
801,Al Gore,peace,2007,M
802,Leonid Hurwicz,economics,2007,M
803,Eric Maskin,economics,2007,M
804,Roger Myerson,economics,2007,M
805,Yoichiro Nambu,physics,2008,M
806,Makoto Kobayashi,physics,2008,M
807,Toshihide Maskawa,physics,2008,M
808,Osamu Shimomura,chemistry,2008,M
809,Martin Chalfie,chemistry,2008,M
810,Roger Y. Tsien,chemistry,2008,M
811,Harald zur Hausen,physiology or medicine,2008,M
812,Françoise Barré-Sinoussi,physiology or medicine,2008,F
813,Luc Montagnier,physiology or medicine,2008,M
814,J. M. G. Le Clézio,literature,2008,M
815,Martti Ahtisaari,peace,2008,M
816,Paul Krugman,economics,2008,M
817,Charles K. Kao,physics,2009,M
818,Willard S. Boyle,physics,2009,M
819,George E. Smith,physics,2009,M
820,Venkatraman Ramakrishnan,chemistry,2009,M
821,Thomas A. Steitz,chemistry,2009,M
822,Ada Yonath,chemistry,2009,F
823,Elizabeth Blackburn,physiology or medicine,2009,F
824,Carol W. Greider,physiology or medicine,2009,F
825,Jack W. Szostak,physiology or medicine,2009,M
826,Herta Müller,literature,2009,F
827,Barack Obama,peace,2009,M
828,Elinor Ostrom,economics,2009,F
829,Oliver E. Williamson,economics,2009,M
830,Andre Geim,physics,2010,M
831,Konstantin Novoselov,physics,2010,M
832,Richard F. Heck,chemistry,2010,M
833,Ei-ichi Negishi,chemistry,2010,M
834,Akira Suzuki,chemistry,2010,M
835,Robert G. Edwards,physiology or medicine,2010,M
836,Mario Vargas Llosa,literature,2010,M
837,Liu Xiaobo,peace,2010,M
838,Peter A. Diamond,economics,2010,M
839,Dale T. Mortensen,economics,2010,M
840,Christopher A. Pissarides,economics,2010,M
841,Saul Perlmutter,physics,2011,M
842,Adam G. Riess,physics,2011,M
843,Brian Schmidt,physics,2011,M
844,Dan Shechtman,chemistry,2011,M
845,Bruce Beutler,physiology or medicine,2011,M
846,Jules A. Hoffmann,physiology or medicine,2011,M
847,Ralph M. Steinman,physiology or medicine,2011,M
848,Tomas Tranströmer,literature,2011,M
849,Ellen Johnson Sirleaf,peace,2011,F
850,Leymah Gbowee,peace,2011,F
851,Tawakkoll Karman,peace,2011,F
852,Thomas J. Sargent,economics,2011,M
853,Christopher A. Sims,economics,2011,M
854,Serge Haroche,physics,2012,M
855,David J. Wineland,physics,2012,M
856,Brian K. Kobilka,chemistry,2012,M
857,Robert J. Lefkowitz,chemistry,2012,M
858,John B. Gurdon,physiology or medicine,2012,M
859,Shinya Yamanaka,physiology or medicine,2012,M
860,Mo Yan,literature,2012,M
861,European Union,peace,2012,M
862,Alvin E. Roth,economics,2012,M
863,Lloyd S. Shapley,economics,2012,M
864,François Englert,physics,2013,M
865,Peter W. Higgs,physics,2013,M
866,Martin Karplus,chemistry,2013,M
867,Michael Levitt,chemistry,2013,M
868,Arieh Warshel,chemistry,2013,M
869,James E. Rothman,physiology or medicine,2013,M
870,Randy W. Schekman,physiology or medicine,2013,M
871,Thomas C. Südhof,physiology or medicine,2013,M
872,Alice Munro,literature,2013,F
873,Organisation for the Prohibition of Chemical Weapons,peace,2013,M
874,Eugene F. Fama,economics,2013,M
875,Lars Peter Hansen,economics,2013,M
876,Robert J. Shiller,economics,2013,M
877,Isamu Akasaki,physics,2014,M
878,Hiroshi Amano,physics,2014,M
879,Shuji Nakamura,physics,2014,M
880,Eric Betzig,chemistry,2014,M
881,Stefan Hell,chemistry,2014,M
882,William Moerner,chemistry,2014,M
883,John O'Keefe,physiology or medicine,2014,M
884,May-Britt Moser,physiology or medicine,2014,F
885,Edvard Moser,physiology or medicine,2014,M
886,Patrick Modiano,literature,2014,M
887,Kailash Satyarthi,peace,2014,M
888,Malala Yousafzai,peace,2014,F
889,Jean Tirole,economics,2014,M
890,Takaaki Kajita,physics,2015,M
891,Arthur B. McDonald,physics,2015,M
892,Tomas Lindahl,chemistry,2015,M
893,Paul L. Modrich,chemistry,2015,M
894,Aziz Sancar,chemistry,2015,M
895,William C. Campbell,physiology or medicine,2015,M
896,Satoshi Ōmura,physiology or medicine,2015,M
897,Tu Youyou,physiology or medicine,2015,F
898,Svetlana Alexievich,literature,2015,F
899,Tunisian National Dialogue Quartet,peace,2015,M
900,Angus Deaton,economics,2015,M
901,David J. Thouless,physics,2016,M
902,Duncan Haldane,physics,2016,M
903,John M. Kosterlitz,physics,2016,M
904,Jean-Pierre Sauvage,chemistry,2016,M
905,Fraser Stoddart,chemistry,2016,M
906,Ben Feringa,chemistry,2016,M
907,Yoshinori Ohsumi,physiology or medicine,2016,M
908,Bob Dylan,literature,2016,M
909,Juan Manuel Santos,peace,2016,M
910,Oliver Hart,economics,2016,M
911,Bengt R. Holmström,economics,2016,M
912,Rainer Weiss,physics,2017,M
913,Barry Barish,physics,2017,M
914,Kip Thorne,physics,2017,M
915,Jacques Dubochet,chemistry,2017,M
916,Joachim Frank,chemistry,2017,M
917,Richard Henderson,chemistry,2017,M
918,Jeffrey C. Hall,physiology or medicine,2017,M
919,Michael Rosbash,physiology or medicine,2017,M
920,Michael W. Young,physiology or medicine,2017,M
921,Kazuo Ishiguro,literature,2017,M
922,International Campaign to Abolish Nuclear Weapons,peace,2017,M
923,Richard Thaler,economics,2017,M
924,Arthur Ashkin,physics,2018,M
925,Gérard Mourou,physics,2018,M
926,Donna Strickland,physics,2018,F
927,Frances H. Arnold,chemistry,2018,F
928,George P. Smith,chemistry,2018,M
929,Greg Winter,chemistry,2018,M
930,James P. Allison,physiology or medicine,2018,M
931,Tasuku Honjo,physiology or medicine,2018,M
932,Olga Tokarczuk,literature,2018,F
933,Denis Mukwege,peace,2018,M
934,Nadia Murad,peace,2018,F
935,William Nordhaus,economics,2018,M
936,Paul Romer,economics,2018,M
937,James Peebles,physics,2019,M
938,Michel Mayor,physics,2019,M
939,Didier Queloz,physics,2019,M
940,John B. Goodenough,chemistry,2019,M
941,M. Stanley Whittingham,chemistry,2019,M
942,Akira Yoshino,chemistry,2019,M
943,William Kaelin Jr.,physiology or medicine,2019,M
944,Peter J. Ratcliffe,physiology or medicine,2019,M
945,Gregg L. Semenza,physiology or medicine,2019,M
946,Peter Handke,literature,2019,M
947,Abiy Ahmed,peace,2019,M
948,Abhijit Banerjee,economics,2019,M
949,Esther Duflo,economics,2019,F
950,Michael Kremer,economics,2019,M
951,Roger Penrose,physics,2020,M
952,Reinhard Genzel,physics,2020,M
953,Andrea M. Ghez,physics,2020,F
954,Emmanuelle Charpentier,chemistry,2020,F
955,Jennifer Doudna,chemistry,2020,F
956,Harvey J. Alter,physiology or medicine,2020,M
957,Michael Houghton,physiology or medicine,2020,M
958,Charles M. Rice,physiology or medicine,2020,M
959,Louise Glück,literature,2020,F
960,World Food Programme,peace,2020,M
961,Paul R. Milgrom,economics,2020,M
962,Robert B. Wilson,economics,2020,M
